env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp,environment,env_code,source_file
envA,cuda,resnet50,32,72,102.13,313.32,1763159543.8385572,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,73,96.18,332.72,1763159543.9350047,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,74,96.74,330.78,1763159544.0319688,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,75,96.83,330.47,1763159544.1290162,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,76,96.59,331.3,1763159544.2258654,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,77,105.25,304.04,1763159544.3314643,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,78,103.71,308.55,1763159544.4355826,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,79,104.08,307.44,1763159544.5398695,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,80,104.54,306.11,1763159544.6447656,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,81,43.67,732.74,1763159544.7518268,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,82,101.32,315.84,1763159544.8535092,RTX 4080,A,resnet50_b32.csv
